             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
  12672918_[1-4%4]      epyc WES_norm kojima-k PD       0:00      1 (DependencyNeverSatisfied)
  12665297_[1-4%4]      epyc WES_norm kojima-k PD       0:00      1 (DependencyNeverSatisfied)
          14038483      epyc    SNAPP entomol_ PD       0:00      1 (Resources)
    14838684_[2-4]      epyc variant_ takumi_t PD       0:00      1 (Priority)
 14838682_[66-312]      epyc variant_ takumi_t PD       0:00      1 (QOSMaxJobsPerUserLimit)
14838984_[610-640%      epyc   tms_dl hidakaky PD       0:00      1 (JobArrayTaskLimit)
          14838917      epyc dmrcalle huong-ta PD       0:00      1 (Priority)
          14838901      epyc dmrcalle huong-ta PD       0:00      1 (Priority)
          14827093      epyc pyscenic tomohiro PD       0:00      1 (Priority)
   14838612_[5-20]      epyc fastStru funakawa PD       0:00      1 (Priority)
          14838778      epyc TE_Repea funakawa PD       0:00      1 (Priority)
   14803047_[7-22]      epyc RelatePa yusuke-f PD       0:00      1 (Priority)
          14838616      epyc pirat.sh  onoyuki PD       0:00      1 (Priority)
          14805725      epyc xpehh-no inouelab PD       0:00      1 (DependencyNeverSatisfied)
          14828833      epyc  mpileup jafawcet PD       0:00      1 (Priority)
 14745299_[7-19%5]      epyc run_Real   fukuda PD       0:00      1 (JobArrayTaskLimit)
          14796630      epyc asmmeta2 b744rjcc PD       0:00      1 (Priority)
14817340_[106-239%      epyc pepHsapE ktamagaw PD       0:00      1 (Priority)
14700703_[70-100%1      epyc    AGfsc mmorita0 PD       0:00      1 (JobArrayTaskLimit)
14700715_[166-200%      epyc    DGfsc mmorita0 PD       0:00      1 (JobArrayTaskLimit)
          14679525      epyc hifiasm_ takahiro PD       0:00      1 (Priority)
          14838525      epyc j7_A_sca daikisat PD       0:00      1 (Priority)
14814237_[138-204%      epyc braker3_ ashiashi PD       0:00      1 (JobArrayTaskLimit)
  14703631_[1-251]      epyc utgovl_L takahiro PD       0:00      1 (Priority)
14703616_[240-251]      epyc utgovl_L takahiro PD       0:00      1 (Priority)
  14703634_[1-155]      epyc utgovl_L takahiro PD       0:00      1 (Priority)
  14703637_[1-155]      epyc utgovl_L takahiro PD       0:00      1 (Priority)
  14703645_[1-251]      epyc utgovl_L takahiro PD       0:00      1 (Priority)
  14703649_[1-155]      epyc utgovl_L takahiro PD       0:00      1 (Priority)
  14703657_[1-369]      epyc utgovl_L takahiro PD       0:00      1 (Priority)
  14703666_[1-369]      epyc utgovl_L takahiro PD       0:00      1 (Priority)
          14703650      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
          14703646      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
          14703638      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
          14703635      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
          14703632      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
          14703617      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
          14703667      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
          14703658      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
          14816391      epyc CDH_top3 ashiashi PD       0:00      1 (Priority)
  14801822_[1-103]      epyc testr_sa atsu1217 PD       0:00      1 (Priority)
    14802082_[0-1]      epyc bm_rm2_g atsu1217 PD       0:00      1 (Priority)
    14802086_[0-1]      epyc bm_rm2_R atsu1217 PD       0:00      1 (Priority)
  14745573_[1-318]      epyc red_L.of takahiro PD       0:00      1 (Priority)
          14745574      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
  14745726_[1-369]      epyc utgovl_L takahiro PD       0:00      1 (Priority)
          14745727      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
14567682_[332-416]      epyc job_2026  matthew PD       0:00      1 (Priority)
          14834330      epyc CDH_top3 ashiashi PD       0:00      1 (Priority)
          14743282      epyc orf528_e   isogai PD       0:00      1 (Priority)
          14743283      epyc orf560_e   isogai PD       0:00      1 (Priority)
          14828417      epyc eval_rep atsu1217 PD       0:00      1 (Priority)
      14828574_[0]      epyc rm_repmo atsu1217 PD       0:00      1 (Priority)
  14814785_[1-401]      epyc red_L.of takahiro PD       0:00      1 (Priority)
          14814786      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
  14815515_[1-401]      epyc red_L.of takahiro PD       0:00      1 (Priority)
          14815516      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
14824409_[1-33%20]      epyc ipr_Outg ryotakum PD       0:00      1 (Priority)
14824408_[22-26%20      epyc ipr_Outg ryotakum PD       0:00      1 (Priority)
      14824353_[1]      epyc bat_L.of takahiro PD       0:00      1 (Priority)
          14824354      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
      14827077_[1]      epyc bat_L.of takahiro PD       0:00      1 (Priority)
          14827078      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
 14831284_[56-199]      epyc oea_L.of takahiro PD       0:00      1 (Priority)
          14831285      epyc canu_L.o takahiro PD       0:00      1 (Dependency)
          14824377      epyc job_2026  matthew PD       0:00      1 (Priority)
    14834576_[1-5]      epyc job_2026  matthew PD       0:00      1 (Priority)
    14834577_[1-3]      epyc job_2026  matthew PD       0:00      1 (Priority)
          14838598      epyc TKTR5_r1   k-tomo  R    2:03:00      1 a018
          14838599      epyc TKTR5_r2   k-tomo  R    2:03:00      1 a018
